source,target,mode_of_regulation,weight
ADA2,RPL3,1,1
ADA2,RPL31,1,1
ADA2,RPL32,1,1
ADA2,RPL35,1,1
ADA2,RPL36,1,1
ADA2,RPL37,1,1
ADA2,RPL38,1,1
ADA2,RPL5,1,1
ADA2,RPL7,1,1
ADA2,RPL7A,1,1
ADA2,RPL8,1,1
ADA2,RPL9,1,1
ADA2,RPS10,1,1
ADA2,RPS10-NUDT3,1,1
ADA2,RPS14,1,1
ADA2,RPS18,1,1
ADA2,RPS2,1,1
ADA2,RPS20,1,1
ADA2,RPS24,1,1
ADA2,RPS29P16,1,1
ADA2,RPS3,1,1
ADA2,RPS3A,1,1
ADA2,RPS4X,1,1
ADA2,RPS7,1,1
ADA2,RPS8,1,1
ADA2,RRP15,1,1
ADA2,RSBN1,1,1
ADA2,RSPH3,1,1
ADA2,RSPO2,1,1
ADA2,RTEL1,1,1
ADA2,RTTN,1,1
ADA2,RUVBL1,1,1
ADA2,SAMD1,1,1
ADA2,SAR1B,1,1
ADA2,SBDS,1,1
ADA2,SBDSP1,1,1
ADA2,SBK1,1,1
ADA2,SCAND3,1,1
ADA2,SCN1B,1,1
ADA2,SCRIB,1,1
ADA2,SCRT1,1,1
ADA2,SDHAF3,1,1
ADA2,SEC11A,1,1
ADA2,SEC13,1,1
ADA2,SEC22B,1,1
ADA2,SELENOH,1,1
ADA2,SEMA3A,1,1
ADA2,SENP1,1,1
ADA2,SF3A3,1,1
ADA2,SF3B3,1,1
ADA2,SF3B6,1,1
ADA2,SH2B1,1,1
ADA2,SH2D2A,1,1
ADA2,SHARPIN,1,1
ADA2,SHOX2,1,1
ADA2,SLC12A5,1,1
ADA2,SLC12A5-AS1,1,1
ADA2,SLC20A2,1,1
ADA2,SLC24A1,1,1
ADA2,SLC27A5,1,1
ADA2,SLC33A1,1,1
ADA2,SLC35A3,1,1
ADA2,SLC35B1,1,1
ADA2,SLC35C2,1,1
ADA2,SLC39A13,1,1
ADA2,SLC39A3,1,1
ADA2,SLC44A1,1,1
ADA2,SLC4A11,1,1
ADA2,SLC4A1AP,1,1
ADA2,SLCO4A1,1,1
ADA2,SLF1,1,1
ADA2,SLX9,1,1
ADA2,SMG7,1,1
ADA2,SMG7-AS1,1,1
ADA2,SMG8,1,1
ADA2,SMIM19,1,1
ADA2,SMIM20,1,1
ADA2,SMPD2,1,1
ADA2,SNAP25-AS1,1,1
ADA2,SNAP47,1,1
ADA2,SNHG15,1,1
ADA2,SNHG6,1,1
ADA2,SNHG9,1,1
ADA2,SNORA78,1,1
ADA2,SNORA7A,1,1
ADA2,SNORA9,1,1
ADA2,SNORD15A,1,1
ADA2,SNORD24,1,1
ADA2,SNORD43,1,1
ADA2,SNORD46,1,1
ADA2,SNORD54,1,1
